EngWord,PolWord,EngSen,PolSen
to state,określić,I was just stating a fact.,Właśnie stwierdzałem fakt.
to claim,domagać się,Is he claiming to be an expert in that field.,"Czy twierdzi, że jest ekspertem w tej dziedzinie?"
to point out that,wskazać na to,He pointed out that sales were growing.,"Zwrócił uwagę, że sprzedaż rośnie."
to confess,przyznać się,I didn't want to confess that I wasn't informed.,"Nie chciałem wyznać, że nie zostałem poinformowany."
to object,sprzeciwiać się,The local community objected to the building of a shopping center.,Społeczność lokalna sprzeciwiła się budowie centrum handlowego.
to interrupt,przeszkodzić,Sorry to interrupt but could I just ask you about one thing.,"Przepraszam, że przeszkadzam, ale czy mogę tylko zapytać o jedną rzecz."
to threaten,grozić,They threatened that they would go on strike.,"Grozili, że strajkują."
to insist,nalegać,She insisted on paying for everything.,Nalegała na wszystko.
two insinuates,dwa insynuują,He insinuated that she was having a fat.,"Zasugerował, że miała tłuszcz."
to imply,sugerować,The evidence implied that he'd been at fault.,"Dowody sugerowały, że był winny."
to tease,drażnić,The kids at school would tease me about my glasses.,Dzieciaki w szkole droczyły się ze mną na temat moich okularów.
two word ge,dwa słowa ge,The police urge any witnesses to contact them immediately.,Policja wzywa wszystkich świadków do niezwłocznego skontaktowania się z nimi.
to emphasize,podkreślenie,The boss emphasize that he'd already given me a pay rise twice.,"Szef podkreśla, że już dwukrotnie dał mi podwyżkę."
to mumble,bełkotać,The kid mumbled that he was sorry and hung his head.,"Dzieciak wymamrotał, że mu przykro i zwiesił głowę."
to start to,zacząć,When I was a teenager I used to study a.,"Kiedy byłem nastolatkiem, uczyłem się."
to sold,na sprzedaż,She was very upset I had to solving all night long.,"Była bardzo zdenerwowana, którą musiałem rozwiązać całą noc."
to mock,drwić,She's always marking his Italian accents.,Zawsze zaznacza jego włoskie akcenty.
to persuade,przekonać,We tried to persuade her to accept the invitation.,Próbowaliśmy przekonać ją do przyjęcia zaproszenia.
persuasive,przekonujący,Their argument sounded very persuasive.,Ich argumentacja brzmiała bardzo przekonująco.
concise,zwięzły,Concise instructions are easier to understand.,Zwięzłe instrukcje są łatwiejsze do zrozumienia.
coherent,zgodny,He spoke a lot but it didn't sound coherent.,"Mówił dużo, ale nie brzmiało to spójnie."
eloquent,wymowny,She's such an eloquent speaker isn't she.,"Ona jest tak wymownym mówcą, prawda?"
incomprehensible,niezrozumiały,Is it me or is this form totally incomprehensible.,"Czy to ja, czy ta forma jest całkowicie niezrozumiała."
to come to a conclusion,dojść do wniosku,I've come to the conclusion that I should change my career path.,"Doszedłem do wniosku, że powinienem zmienić ścieżkę kariery."
to jump to conclusions,wyciągać wnioski,Don't jump to conclusions is not the way you think.,"Nie wyciągaj pochopnych wniosków, nie tak myślisz."
household,gospodarstwo domowe,I promise you a color TV in every household.,Obiecuję ci kolorowy telewizor w każdym domu.
to sign the lease,podpisać umowę najmu,We haven't signed a lease with the landlord yet.,Nie podpisaliśmy jeszcze umowy najmu z właścicielem.
to pay the bills,płacić rachunki,I don't always pay the bills on time.,Nie zawsze płacę rachunki na czas.
deposit,kaucja,The landlady wanted one month's deposit.,Gospodyni chciała miesięcznego depozytu.
notice,ogłoszenie,Miley's requires ninety days notice.,Miley wymaga 90-dniowego okresu wypowiedzenia.
